fecha,Ocupantes,Fallecidos,Decada,Supervivientes
1908-09-17,2,1,1970-01-01 00:00:00.000001900,1
1909-07-09,1,1,1970-01-01 00:00:00.000001900,0
1912-12-07,5,5,1970-01-01 00:00:00.000001910,0
1913-06-08,1,1,1970-01-01 00:00:00.000001910,0
1913-09-09,20,14,1970-01-01 00:00:00.000001910,6
1913-10-17,28,28,1970-01-01 00:00:00.000001910,0
1915-05-03,41,17,1970-01-01 00:00:00.000001910,24
1915-03-09,19,19,1970-01-01 00:00:00.000001910,0
1916-07-28,20,20,1970-01-01 00:00:00.000001910,0
1916-09-24,22,22,1970-01-01 00:00:00.000001910,0
1916-01-10,19,19,1970-01-01 00:00:00.000001910,0
1916-11-21,28,27,1970-01-01 00:00:00.000001910,1
1916-11-28,20,20,1970-01-01 00:00:00.000001910,0
1917-04-03,20,20,1970-01-01 00:00:00.000001910,0
1917-03-30,23,23,1970-01-01 00:00:00.000001910,0
1917-05-14,21,21,1970-01-01 00:00:00.000001910,0
1917-06-14,24,24,1970-01-01 00:00:00.000001910,0
1917-06-17,16,14,1970-01-01 00:00:00.000001910,2
1917-08-21,18,18,1970-01-01 00:00:00.000001910,0
1917-10-20,18,18,1970-01-01 00:00:00.000001910,0
1918-07-04,23,23,1970-01-01 00:00:00.000001910,0
1918-05-08,22,22,1970-01-01 00:00:00.000001910,0
1918-11-08,19,19,1970-01-01 00:00:00.000001910,0
1918-12-16,1,1,1970-01-01 00:00:00.000001910,0
1919-05-25,1,1,1970-01-01 00:00:00.000001910,0
1919-07-19,1,1,1970-01-01 00:00:00.000001910,0
1919-07-21,5,3,1970-01-01 00:00:00.000001910,2
1919-02-08,14,14,1970-01-01 00:00:00.000001910,0
1919-02-10,1,1,1970-01-01 00:00:00.000001910,0
1919-10-14,1,1,1970-01-01 00:00:00.000001910,0
1919-10-20,0,0,1970-01-01 00:00:00.000001910,0
1919-10-30,1,1,1970-01-01 00:00:00.000001910,0
1919-11-12,1,1,1970-01-01 00:00:00.000001910,0
1920-10-03,1,1,1970-01-01 00:00:00.000001920,0
1920-03-30,1,1,1970-01-01 00:00:00.000001920,0
1920-10-04,2,1,1970-01-01 00:00:00.000001920,1
1920-11-04,2,1,1970-01-01 00:00:00.000001920,1
1920-12-05,2,1,1970-01-01 00:00:00.000001920,1
1920-06-06,1,1,1970-01-01 00:00:00.000001920,0
1920-07-20,1,1,1970-01-01 00:00:00.000001920,0
1920-08-16,1,1,1970-01-01 00:00:00.000001920,0
1920-08-16,1,1,1970-01-01 00:00:00.000001920,0
1920-01-09,2,2,1970-01-01 00:00:00.000001920,0
1920-09-15,2,2,1970-01-01 00:00:00.000001920,0
1920-09-27,1,1,1970-01-01 00:00:00.000001920,0
1920-02-10,2,2,1970-01-01 00:00:00.000001920,0
1920-05-10,2,2,1970-01-01 00:00:00.000001920,0
1920-10-15,1,1,1970-01-01 00:00:00.000001920,0
1920-07-11,1,1,1970-01-01 00:00:00.000001920,0
1920-12-14,8,4,1970-01-01 00:00:00.000001920,4
1920-12-24,1,1,1970-01-01 00:00:00.000001920,0
1921-03-02,1,1,1970-01-01 00:00:00.000001920,0
1921-09-02,3,3,1970-01-01 00:00:00.000001920,0
1921-02-15,2,2,1970-01-01 00:00:00.000001920,0
1921-02-22,1,1,1970-01-01 00:00:00.000001920,0
1921-06-04,2,2,1970-01-01 00:00:00.000001920,0
1921-04-21,1,1,1970-01-01 00:00:00.000001920,0
1921-04-29,1,1,1970-01-01 00:00:00.000001920,0
1921-05-17,1,1,1970-01-01 00:00:00.000001920,0
1921-08-14,2,2,1970-01-01 00:00:00.000001920,0
1921-08-24,49,43,1970-01-01 00:00:00.000001920,6
1921-06-09,5,5,1970-01-01 00:00:00.000001920,0
1921-05-12,2,2,1970-01-01 00:00:00.000001920,0
1922-01-14,5,5,1970-01-01 00:00:00.000001920,0
1922-02-21,45,34,1970-01-01 00:00:00.000001920,11
1922-03-22,6,5,1970-01-01 00:00:00.000001920,1
1922-07-04,7,7,1970-01-01 00:00:00.000001920,0
1922-08-04,17,17,1970-01-01 00:00:00.000001920,0
1922-03-06,3,3,1970-01-01 00:00:00.000001920,0
1922-04-07,3,2,1970-01-01 00:00:00.000001920,1
1922-07-16,5,5,1970-01-01 00:00:00.000001920,0
1922-07-26,3,3,1970-01-01 00:00:00.000001920,0
1922-07-09,1,1,1970-01-01 00:00:00.000001920,0
1922-02-10,4,4,1970-01-01 00:00:00.000001920,0
1922-10-25,2,2,1970-01-01 00:00:00.000001920,0
1922-03-12,1,1,1970-01-01 00:00:00.000001920,0
1923-10-01,4,3,1970-01-01 00:00:00.000001920,1
1923-01-17,1,1,1970-01-01 00:00:00.000001920,0
1923-01-18,1,1,1970-01-01 00:00:00.000001920,0
1923-02-26,1,1,1970-01-01 00:00:00.000001920,0
1923-05-14,6,6,1970-01-01 00:00:00.000001920,0
1923-08-27,11,1,1970-01-01 00:00:00.000001920,10
1923-08-27,2,2,1970-01-01 00:00:00.000001920,0
1923-07-09,1,1,1970-01-01 00:00:00.000001920,0
1923-09-14,5,5,1970-01-01 00:00:00.000001920,0
1923-11-18,5,3,1970-01-01 00:00:00.000001920,2
1923-06-12,1,1,1970-01-01 00:00:00.000001920,0
1923-12-23,52,52,1970-01-01 00:00:00.000001920,0
1923-12-24,1,1,1970-01-01 00:00:00.000001920,0
1924-07-03,1,1,1970-01-01 00:00:00.000001920,0
1924-04-24,3,3,1970-01-01 00:00:00.000001920,0
1924-08-06,5,5,1970-01-01 00:00:00.000001920,0
1924-01-08,1,1,1970-01-01 00:00:00.000001920,0
1924-06-11,1,1,1970-01-01 00:00:00.000001920,0
